Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PNR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PNR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PNR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PNR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PNR_M_R
688,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
689,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
690,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
691,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
692,Grassland,Forest,Cropland,Water,Non_Wetland,Forest
693,Grassland,Forest,Wetland,NULL,Wetland,NULL
694,Grassland,Forest,Wetland,NULL,Wetland,Grassland
695,Grassland,Forest,Wetland,NULL,Wetland,Wetland
696,Grassland,Forest,Wetland,NULL,Wetland,Water
697,Grassland,Forest,Wetland,NULL,Wetland,Forest
698,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
699,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
700,Grassland,Forest,Wetland,Non_Water,Wetland,Water
701,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
702,Grassland,Forest,Wetland,Water,Wetland,Grassland
703,Grassland,Forest,Wetland,Water,Wetland,Wetland
704,Grassland,Forest,Wetland,Water,Wetland,Water
705,Grassland,Forest,Wetland,Water,Wetland,Forest
706,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
707,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
708,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
709,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
710,Grassland,Forest,Built-up,NULL,Non_Wetland,Built-up
711,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
712,Grassland,Forest,Water,NULL,Water,Grassland
713,Grassland,Forest,Water,NULL,Water,Wetland
714,Grassland,Forest,Water,NULL,Water,Forest
715,Grassland,Forest,Water,Non_Water,Water,Grassland
716,Grassland,Forest,Water,Non_Water,Water,Wetland
717,Grassland,Forest,Water,Non_Water,Water,Forest
718,Grassland,Forest,Water,Water,Water,Wetland
719,Grassland,Forest,Water,Water,Water,Forest
720,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
721,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
